model,noise_label,informed,task_order,n_runs,lag1_AB_mean,lag1_AB_ci_lo,lag1_AB_ci_hi,lag1_AB_n,lag1_BA_mean,lag1_BA_ci_lo,lag1_BA_ci_hi,lag1_BA_n,same_round_AB_mean,same_round_AB_ci_lo,same_round_AB_ci_hi,same_round_AB_n,lag1_max_mean,lag1_max_ci_lo,lag1_max_ci_hi,lag1_max_n,share_lag_gt_0_5
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,False,myth_game,15,0.06500825475804763,-0.0505590236701123,0.1738544127549594,15,0.1337507847196414,-0.04058125878706298,0.2894929899346803,15,-0.019537856349747394,-0.13371181176780403,0.10285521594136635,15,0.23127956113856246,0.10801389699627818,0.347824653541167,15,0.06666666666666667
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,True,game_myth,15,0.14294822507964045,-0.05175924706849353,0.3374033395399392,15,0.10504401072311827,-0.09793696145897557,0.3022061159005893,15,0.09910979524830985,-0.09831058015676403,0.29349199981831875,15,0.33658974476304643,0.1864182822646328,0.47821476254175316,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,True,myth_game,15,0.17583361163398106,-0.01611960876016149,0.37356779606771345,15,0.26894397738562514,0.07889674194961221,0.44672023356146223,15,0.1796164622983831,-0.024828562441177853,0.3834876111580807,15,0.40639582072731434,0.23660467750122344,0.5740999115342044,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,False,game_myth,28,0.16209150062897987,0.029828711710784384,0.3047939815630914,28,0.030545244729808994,-0.12087893792544295,0.1830204298644534,28,0.10093559516141214,-0.033813452907695545,0.23292515953480322,28,0.3157400967539617,0.20033342773171106,0.4292410979543628,28,0.32142857142857145
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,False,myth_game,28,0.222171629794061,0.13049228601024082,0.3142200880713275,28,0.19336701218702254,0.03930696646215281,0.33880199539043787,28,0.16523176500462444,0.03104884152651032,0.28947269684101573,28,0.38371287022459766,0.2701960286110988,0.49274889292539675,28,0.39285714285714285
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,True,game_myth,9,0.3018388380883482,0.05201007086412954,0.5041863717429459,9,0.26316319687775996,-0.021044362729974047,0.5317768774750058,9,0.19865533285300221,-0.11775706730141515,0.49562587495765903,9,0.5030315244006781,0.3949002653552171,0.6134005824638146,9,0.4444444444444444
gpt-5-nano,gpt5nano_partner_myth_plus_reasoning,True,myth_game,9,0.11870986832293896,-0.09074514045598088,0.32914999188406824,9,0.2842281898305194,0.10092575985850281,0.47664494249337824,9,0.1050127539653743,-0.11997283181115354,0.32185805917345556,9,0.30312962554379363,0.1365650311998574,0.491534368510696,9,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,False,game_myth,15,0.1146035796930685,-0.05554796291318111,0.28182140966805214,15,0.1282380022653097,-0.08177315476301275,0.3176391398404514,15,0.21160497955419716,0.04618402482160975,0.3569831947470302,15,0.2849816379720022,0.1353804379066246,0.42767579058144534,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,False,myth_game,15,0.07383678265639053,-0.11389865014884397,0.2587719121615473,15,0.17768309752848985,0.007084614122532264,0.344931601996115,15,0.09158686183351054,-0.059396054615748525,0.24575005371048148,15,0.3200108397282929,0.18251450809978845,0.45340725684762284,15,0.2
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,True,game_myth,15,0.14363266809208647,-0.0011542957782248143,0.27793697347837076,15,0.09120481875541384,-0.14803434348450645,0.3236108477921103,15,0.23561483148717494,0.11731825481488127,0.3527896062096766,15,0.3552212927004481,0.2186475916596225,0.4988561695719954,15,0.2
gpt-5-nano,gpt5nano_partner_myth_shuffled_bootstrap,True,myth_game,15,0.09232165241488124,-0.07390553834516865,0.2497687455891405,15,0.31728965667635334,0.1575596775018021,0.4760574373112183,15,0.21718902007232868,0.08219300357752503,0.36393302911824793,15,0.3908578169459061,0.2582136607248381,0.5316443346399883,15,0.4
gpt-5-nano,gpt5nano_partner_myth_shuffled_negative_5,False,game_myth,15,-0.049439099742252794,-0.20080416223609532,0.10000244559789881,15,0.05612650425570253,-0.14075639274488208,0.24284627927015776,15,0.11059607295824551,-0.03642875379990968,0.24688873586916604,15,0.23600748283738537,0.11110838377527783,0.35952448954273664,15,0.13333333333333333
