regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,10,Agent_5,324,0,0,10,0,4,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_7,371,0,3,2,0,14,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_2,431,0,0,1,0,8,0,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_3,208,0,1,0,0,9,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_6,397,0,0,1,0,8,0,16,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_4,339,0,0,1,0,10,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_5,321,0,0,1,0,10,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_8,385,0,0,2,0,15,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,Agent_1,338,0,0,0,0,8,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_6,583,0,0,5,0,20,0,7,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_4,466,0,0,0,0,8,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_2,380,0,0,2,0,8,1,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_3,505,0,0,2,0,11,0,8,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_5,505,0,1,0,0,19,0,7,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,Agent_8,494,0,1,2,0,14,3,9,0
