regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_6,209,1,0,1,0,2,0,3,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_3,203,0,0,1,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_8,200,0,0,0,0,1,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_1,220,2,0,1,0,1,3,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_2,209,0,0,1,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_7,215,0,0,0,0,1,2,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_3,204,0,0,0,0,2,3,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_5,197,0,1,4,0,1,1,4,2
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_8,214,0,1,0,0,1,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_6,212,0,0,2,0,2,0,5,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_4,212,0,1,0,0,1,2,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_2,212,1,0,2,0,1,0,4,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_7,212,0,0,1,0,2,1,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_3,215,0,1,2,0,2,1,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_1,222,0,2,1,0,1,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_4,213,0,1,3,0,1,6,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_5,215,0,0,2,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_8,214,0,0,0,0,1,1,3,0
