exp,cond,file,round,agent,n_tokens,ttr,entropy_bits,mean_sentence_length
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,3,Agent_1,213,0.6338028169014085,6.701009782175505,13.3125
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,3,Agent_2,221,0.5972850678733032,6.613530107169625,10.523809523809524
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,4,Agent_2,212,0.6698113207547169,6.7884309075612395,10.095238095238095
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,4,Agent_1,227,0.5462555066079295,6.4462917248688205,8.407407407407407
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,5,Agent_1,222,0.5630630630630631,6.558687583558009,8.88
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,5,Agent_2,234,0.5598290598290598,6.598322588597579,8.357142857142858
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,6,Agent_2,208,0.7163461538461539,6.941044584642046,8.666666666666666
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,6,Agent_1,233,0.5236051502145923,6.4904451601693065,9.32
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,7,Agent_1,204,0.6421568627450981,6.655248273344849,9.714285714285714
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,7,Agent_2,206,0.7038834951456311,6.907813736602481,7.62962962962963
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,8,Agent_2,214,0.6448598130841121,6.693058746928356,14.266666666666667
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,8,Agent_1,207,0.7004830917874396,6.897245876458157,9.0
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,9,Agent_1,214,0.6962616822429907,6.976103874348964,10.19047619047619
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,9,Agent_2,228,0.6271929824561403,6.783440126969946,13.411764705882353
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,10,Agent_2,214,0.6915887850467289,6.908425604066852,10.7
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,10,Agent_1,223,0.5695067264573991,6.569103212370443,11.15
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,1,Agent_1,202,0.6485148514851485,6.55214216109551,11.222222222222221
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,1,Agent_2,197,0.583756345177665,6.398159167689117,15.153846153846153
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,2,Agent_2,196,0.6632653061224489,6.694283170676895,13.066666666666666
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,2,Agent_1,202,0.6188118811881188,6.429240693514784,11.882352941176471
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,3,Agent_1,210,0.580952380952381,6.397648888832945,13.125
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,3,Agent_2,203,0.625615763546798,6.580350205727677,11.941176470588236
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,4,Agent_2,218,0.573394495412844,6.465634774488793,9.909090909090908
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,4,Agent_1,215,0.6372093023255814,6.725225360019113,12.647058823529411
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,5,Agent_1,226,0.6238938053097345,6.780210739065654,10.761904761904763
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,5,Agent_2,220,0.5545454545454546,6.416653485198355,8.8
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,6,Agent_2,220,0.6545454545454545,6.793367684268783,11.0
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,6,Agent_1,232,0.6163793103448276,6.723268856176037,12.88888888888889
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,7,Agent_1,215,0.6372093023255814,6.746331122615071,11.31578947368421
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,7,Agent_2,223,0.6233183856502242,6.641706927999787,9.695652173913043
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,8,Agent_2,216,0.6574074074074074,6.7248241950057865,10.8
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,8,Agent_1,210,0.638095238095238,6.769519592748744,8.4
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,9,Agent_1,219,0.6073059360730594,6.738152359331589,9.954545454545455
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,9,Agent_2,217,0.5990783410138248,6.669339657449426,10.85
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,10,Agent_2,212,0.6462264150943396,6.68636299780043,10.095238095238095
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,10,Agent_1,223,0.5919282511210763,6.698556963580271,11.736842105263158
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,1,Agent_1,203,0.6206896551724138,6.553082021126119,13.533333333333333
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,1,Agent_2,201,0.6019900497512438,6.456917867257267,14.357142857142858
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,2,Agent_2,204,0.6617647058823529,6.656089974876751,12.0
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,2,Agent_1,191,0.6596858638743456,6.546841446404045,13.642857142857142
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,3,Agent_1,202,0.6138613861386139,6.549348305695969,10.631578947368421
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,3,Agent_2,212,0.5849056603773585,6.417852170863486,11.777777777777779
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,4,Agent_2,207,0.5748792270531401,6.359104515363887,9.857142857142858
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,4,Agent_1,217,0.5944700460829493,6.490232404820449,10.333333333333334
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,5,Agent_1,227,0.5859030837004405,6.564001376256987,11.35
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,5,Agent_2,220,0.5136363636363637,6.27226885613991,10.0
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,6,Agent_2,221,0.5203619909502263,6.283305069937668,9.208333333333334
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,6,Agent_1,215,0.6465116279069767,6.698795230166131,11.31578947368421
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,7,Agent_1,218,0.6605504587155964,6.8088466697631524,12.823529411764707
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,7,Agent_2,215,0.6186046511627907,6.707622573618669,11.31578947368421
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,8,Agent_2,217,0.6267281105990783,6.710319434970182,14.466666666666667
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,8,Agent_1,215,0.6325581395348837,6.664245566664666,11.31578947368421
sonnet45_2agent_dir_vs_norm,normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,9,Agent_1,238,0.6134453781512605,6.760711290099214,14.0
