condition,run,round,agent,model,myth_prompt_arm_id,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences,network_community_count,network_community_per_1k,stranger_portability_count,stranger_portability_per_1k,abstract_norm_pattern_count,abstract_norm_pattern_per_1k,reputation_history_count,reputation_history_per_1k,explicit_game_rules_count,explicit_game_rules_per_1k,named_agent_markers_count,named_agent_markers_per_1k
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,4,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,202,118,0.5841584158415841,6.391427342052394,10.578947368421053,19,5,24.752475247524753,1,4.9504950495049505,3,14.851485148514852,1,4.9504950495049505,12,59.40594059405941,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,5,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,210,131,0.6238095238095238,6.596886547202652,11.0,19,4,19.047619047619047,0,0.0,6,28.571428571428573,0,0.0,12,57.142857142857146,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,5,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,208,123,0.5913461538461539,6.5545027482282245,11.5,18,3,14.423076923076923,0,0.0,4,19.23076923076923,0,0.0,13,62.5,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,6,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,218,142,0.6513761467889908,6.711126628897069,10.85,20,4,18.34862385321101,1,4.587155963302752,4,18.34862385321101,2,9.174311926605505,12,55.04587155963303,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,6,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,222,135,0.6081081081081081,6.630115177731982,11.631578947368421,19,4,18.01801801801802,3,13.513513513513514,2,9.00900900900901,1,4.504504504504505,11,49.549549549549546,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,7,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,227,137,0.6035242290748899,6.647348004180088,11.894736842105264,19,6,26.431718061674008,1,4.405286343612334,4,17.621145374449338,2,8.810572687224669,10,44.052863436123346,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,7,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,212,129,0.6084905660377359,6.535269394126968,11.105263157894736,19,4,18.867924528301888,0,0.0,4,18.867924528301888,0,0.0,9,42.45283018867924,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,8,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,221,136,0.6153846153846154,6.633267433382815,11.0,20,4,18.099547511312217,0,0.0,5,22.624434389140273,0,0.0,9,40.723981900452486,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,8,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,228,141,0.618421052631579,6.714723104683335,11.35,20,4,17.54385964912281,0,0.0,3,13.157894736842104,0,0.0,9,39.473684210526315,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,9,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,223,143,0.6412556053811659,6.782354569009994,11.1,20,7,31.390134529147982,0,0.0,5,22.42152466367713,0,0.0,8,35.874439461883405,0,0.0
